iter	Passed	Remaining
0	60	60418
1	63	31465
2	65	21731
3	68	17170
4	71	14159
5	74	12278
6	76	10907
7	80	9945
8	82	9127
9	84	8401
10	87	7865
11	90	7424
12	92	7007
13	94	6671
14	96	6351
15	98	6065
16	100	5807
17	102	5599
18	104	5410
19	106	5222
20	108	5069
21	111	4970
22	113	4835
23	115	4714
24	117	4595
25	119	4493
26	123	4441
27	125	4353
28	127	4278
29	129	4193
30	131	4103
31	133	4036
32	135	3962
33	137	3898
34	139	3837
35	141	3782
36	142	3717
37	144	3662
38	146	3608
39	147	3549
40	150	3509
41	152	3467
42	153	3423
43	155	3380
44	157	3339
45	159	3299
46	160	3261
47	162	3224
48	164	3189
49	166	3157
50	168	3134
51	170	3114
52	173	3096
53	175	3068
54	176	3038
55	178	3011
56	180	2988
57	183	2984
58	185	2960
59	187	2937
60	189	2919
61	191	2898
62	193	2876
63	195	2854
64	197	2835
65	199	2816
66	200	2795
67	203	2784
68	204	2764
69	206	2749
70	208	2730
71	210	2715
72	212	2702
73	214	2683
74	216	2669
75	218	2654
76	220	2639
77	222	2626
78	224	2617
79	227	2611
80	228	2597
81	230	2580
82	232	2569
83	234	2557
84	236	2550
85	239	2541
86	241	2532
87	243	2521
88	245	2509
89	248	2509
90	249	2495
91	251	2486
92	254	2478
93	256	2470
94	258	2462
95	260	2453
96	262	2446
97	264	2437
98	267	2430
99	268	2418
100	271	2419
101	273	2412
102	277	2417
103	279	2411
104	281	2400
105	283	2392
106	285	2382
107	287	2370
108	289	2363
109	291	2355
110	293	2349
111	295	2341
112	297	2335
113	299	2326
114	301	2320
115	303	2311
116	305	2304
117	308	2304
118	310	2300
119	313	2297
120	315	2292
121	317	2288
122	320	2288
123	323	2282
124	324	2272
125	327	2268
126	328	2260
127	331	2257
128	333	2251
129	335	2246
130	337	2241
131	340	2237
132	341	2228
133	344	2228
134	346	2221
135	349	2218
136	351	2212
137	353	2207
138	355	2200
139	357	2195
140	359	2188
141	361	2181
142	363	2176
143	364	2167
144	366	2160
145	368	2157
146	370	2150
147	372	2143
148	374	2138
149	376	2136
150	379	2131
151	380	2123
152	383	2120
153	385	2116
154	386	2108
155	388	2101
156	390	2096
157	392	2092
158	394	2089
159	396	2082
160	399	2081
161	401	2078
162	403	2073
163	405	2068
164	407	2063
165	409	2057
166	411	2053
167	413	2047
168	415	2043
169	417	2037
170	419	2031
171	421	2029
172	423	2025
173	425	2019
174	426	2012
175	428	2008
176	430	2003
177	433	2003
178	435	1998
179	438	1997
180	440	1993
181	442	1988
182	444	1985
183	446	1981
184	449	1978
185	451	1973
186	453	1970
187	455	1965
188	456	1959
189	458	1955
190	460	1951
191	462	1945
192	464	1943
193	466	1937
194	468	1932
195	470	1929
196	472	1925
197	474	1920
198	476	1916
199	478	1912
200	479	1907
201	481	1903
202	483	1897
203	485	1893
204	487	1891
205	489	1886
206	491	1881
207	492	1876
208	494	1873
209	496	1869
210	498	1864
211	500	1858
212	502	1856
213	504	1854
214	506	1849
215	509	1848
216	510	1843
217	512	1839
218	514	1836
219	516	1831
220	518	1828
221	521	1827
222	523	1822
223	524	1817
224	526	1812
225	528	1809
226	529	1804
227	531	1800
228	533	1796
229	535	1791
230	536	1786
231	537	1780
232	539	1776
233	541	1772
234	542	1767
235	545	1764
236	546	1760
237	548	1756
238	550	1752
239	552	1748
240	554	1746
241	556	1742
242	558	1741
243	560	1736
244	562	1732
245	564	1729
246	566	1726
247	567	1721
248	569	1717
249	571	1713
250	572	1708
251	573	1703
252	575	1698
253	576	1693
254	578	1689
255	579	1684
256	581	1679
257	583	1677
258	584	1672
259	586	1668
260	587	1662
261	589	1660
262	592	1659
263	593	1655
264	595	1651
265	597	1647
266	598	1642
267	599	1638
268	601	1634
269	602	1630
270	604	1625
271	606	1622
272	607	1618
273	609	1614
274	610	1610
275	612	1606
276	614	1604
277	616	1600
278	617	1596
279	619	1592
280	620	1588
281	622	1583
282	623	1580
283	625	1576
284	627	1575
285	629	1571
286	631	1568
287	633	1564
288	634	1562
289	636	1559
290	638	1555
291	639	1551
292	641	1548
293	643	1544
294	644	1541
295	646	1538
296	649	1536
297	650	1533
298	652	1529
299	653	1525
300	655	1521
301	656	1517
302	658	1514
303	659	1510
304	662	1509
305	663	1505
306	665	1502
307	666	1498
308	668	1495
309	670	1492
310	673	1491
311	674	1488
312	676	1484
313	678	1482
